Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
29401149164,Local Delivery ROCKBROS Motorcycle Gloves With Quick Adjustable Buckle Breathable Shockproof Bicycle Gloves Sensitive Touch Screen Cycling Gloves,1.0K,4K+,ROCKBROS,6%,₱61.14,https://shopee.ph/product/154429994/29401149164,https://s.shopee.ph/7VCQPA3lA6
28488935388,136pcs/set Multistyle Highly Elastic Thick Rubber Band Hair Band Simple Durable Ponytail Hair Tie Headwear Hair Accessories,105,1K+,WHfeicheng2.ph,13%,₱13.65,https://shopee.ph/product/1278780138/28488935388,https://s.shopee.ph/7Kt0Cr4OV5
22344269789,Buy 1 Take Free 1 Balaclava With Dust And UV Ray Protection Face Mask Helmet Men And Women Unisex,75,10K+,YR DAILY DRIP ONLINE SHOP,5%,₱3.75,https://shopee.ph/product/606896431/22344269789,https://s.shopee.ph/5q4CQ6A6Xo
16986270339,upgrated embroidery Bas snapback cap for men trucker hat breathable mesh baseball cap for woman,169,10K+,casual_boutique.ph,12%,₱20.28,https://shopee.ph/product/233678612/16986270339,https://s.shopee.ph/5fkmDnAjsn
52802307815,Gloves for Motorcycle Unisex Full Half Finger Waterproof Riders Anti-slip Breathable Anti-UV Gloves,149,5K+,FJYQOP PH,10%,₱14.90,https://shopee.ph/product/1256952692/52802307815,https://s.shopee.ph/5VRM1UBNDm
29666325851,80pcs/set Korean Hair Clip Hair Tie Stretch Rubber Hairband Hair Claw Set Hair Accessories For Women,79,7K+,E&S Accessories Store,10%,₱7.90,https://shopee.ph/product/527215582/29666325851,https://s.shopee.ph/5L7vpBC0Yl
12344193877,Leather Belt for Men Cowhide Leather Belt Fit up to 45 inches,110,10K+,Shopaz Fashion,10%,₱11.00,https://shopee.ph/product/578582981/12344193877,https://s.shopee.ph/6VJtDK7ZC0
26416237770,leather logo DAD DADDY snapback cap for men vintge trucker hat net baseball cap for woman dad hat,185,1K+,casual_boutique.ph,12%,₱22.20,https://shopee.ph/product/233678612/26416237770,https://s.shopee.ph/6L0T118CWz
27675334449,Sun Protection Long Sleeves for Women Men Riding Driving Arm Cover Housework Cleaning Sleeves,29,10K+,FitPro.store,6%,₱1.74,https://shopee.ph/product/629261376/27675334449,https://s.shopee.ph/6Ah2oi8pry
22760659870,8 Pcs Set Matte Acrylic Hair Clamps korean hair clamps bundle set pink,85,9K+,Queenyard,10%,₱8.50,https://shopee.ph/product/5445793/22760659870,https://s.shopee.ph/60NccP9TCx
9123576369,Sorrento+ Jetsetter (Fashion/Night&Day Driving Polarized/UV400 Square Sunglasses for Men/Women),1.1K,1K+,Sorrento,10%,₱109.90,https://shopee.ph/product/399958499/9123576369,https://s.shopee.ph/4VYopeFBFg
28727700280,Straw Hat Women Fashion Seaside Sunscreen Sun Hat Anti-Ultraviolet Sunshade Big Brim Beach Hat,129,1K+,XU，CHENG,4%,₱5.16,https://shopee.ph/product/827030565/28727700280,https://s.shopee.ph/4LFOdLFoaf
54604777151,Motorcycle Gloves for Men Wear-resistant Anti Slip Anti Fall Outdoor Sports Riding&cycling Gloves,155,1K+,WONDER HOMELIVING,11.5%,₱17.83,https://shopee.ph/product/1037079392/54604777151,https://s.shopee.ph/4AvyR2GRve
27559836970,[Magpie] Purple lily clip shark clip hair accessory on head,82,1K+,Meique.ph,10%,₱8.20,https://shopee.ph/product/887394507/27559836970,https://s.shopee.ph/40cYEjH5Gd
23172879196,Dress Belt for Women Elastic Stretchable Waistband Women Dress Accessories,99,7K+,Chenchen.Cm,20%,₱19.80,https://shopee.ph/product/375375228/23172879196,https://s.shopee.ph/5AoVcsCdts
24978664864,【13 Options】Korean version of the sun mask hat summer female sun hat cover face UV tea-picking hat,59,2K+,SUNCAMP.ph,10%,₱5.90,https://shopee.ph/product/1246258545/24978664864,https://s.shopee.ph/50V5QZDHEr
17094847581,Buy 1 Balaclava Get 1 Balaclava With UV Ray & Cooling System Technology Motorcycle Full Face Mask,75,10K+,YR DAILY DRIP ONLINE SHOP,5%,₱3.75,https://shopee.ph/product/606896431/17094847581,https://s.shopee.ph/4qBfEGDuZq
44502543270,Korean Plumeria Flower Hair Claw Clip | Hawaiian Eggflower Shark Clip | Gradient Jelly Summer Beach Hair Accessories,60,1,One-Stop Home Shop.ph,50%,₱30.00,https://shopee.ph/product/1685822416/44502543270,https://s.shopee.ph/4fsF1xEXup
5953845176,Bluetooth Sport Travle Sunglasses Sun Glasses Music Handsfree,246,9K+,mallouis,5%,₱12.30,https://shopee.ph/product/54948742/5953845176,https://s.shopee.ph/3B3RFCKFxY
25927555739,Fashion Bucket Hat Outdoor Sun Hat Beach Hat Portable Anti-UV Women Hand-woven Summer Foldable Hat,199,115,SUNCAMP.ph,10%,₱19.90,https://shopee.ph/product/1246258545/25927555739,https://s.shopee.ph/30k12tKtIX
26384641142,"90cm X90cm fashionable and versatile scarf, silk scarf, chain printed large square scarf, sun protection shawl, headscarf",79,6K+,☘️Time Story .ph☘️,11%,₱8.69,https://shopee.ph/product/988791904/26384641142,https://s.shopee.ph/2qQaqaLWdW
40176964258,Korean Matte Big Hair Claw Clip | Large Square Shark Clip | Non-slip Hair Clamp for Thick Hair | Elegant Hair Accessories,43,6,One-Stop Home Shop.ph,50%,₱21.50,https://shopee.ph/product/1685822416/40176964258,https://s.shopee.ph/2g7AeHM9yV
42209506782,Sunnies Studios Aspen (Rectangle Sunglasses Shades for Men and Women),995,722,Sunnies Studios,12%,₱119.40,https://shopee.ph/product/126213861/42209506782,https://s.shopee.ph/3qJ82QHibk
22033466979,Perfect #Straw Summer Hat Beach Summer Hat Women Summer Hat Vacation Summer Hat,179,134,PerfectHats,5%,₱8.95,https://shopee.ph/product/157254109/22033466979,https://s.shopee.ph/3fzhq7ILwj
27311408622,100Pcs 58mm Cosmetic Mirror Metal DIY Badge Button Blank Raw Material buttons badges supplies part,399,8K+,W.Starry,4%,₱15.96,https://shopee.ph/product/1284370210/27311408622,https://s.shopee.ph/3VgHdoIzHi
25513677514,Invisible Extensions Hair Piece Women Long Curly Straight Hair Wig Piece Natural Fashion Korean Wigs,151,10K+,Charmaine Accessories Store,11%,₱16.61,https://shopee.ph/product/1003957432/25513677514,https://s.shopee.ph/3LMrRVJcch
27820111707,Fashion Outdoor Athletic Cycling Sunglasses for Cool Men Women Glasses Runing Sports Driving Road Bicycle Shades UV400,128,10K+,ouyee.ph,5%,₱6.40,https://shopee.ph/product/1097369222/27820111707,https://s.shopee.ph/1qY3ekPKfQ
42363174942,Sunscreen Female Sun Hyuna Same Style Summer Washing Big Brim Bucket Hat Vacation Fur Edge Sling,179,2K+,Annahgladys Shop,8%,₱14.32,https://shopee.ph/product/765278277/42363174942,https://s.shopee.ph/1gEdSRPy0P
40855307452,Fashion Scarf For Women Cotton Summer Outdoor UV Protection Shawl Letter Scarves,110,3K+,Charmaine Accessories Store,11%,₱12.10,https://shopee.ph/product/1003957432/40855307452,https://s.shopee.ph/1VvDG8QbLO
41618666346,"Candy Color Shark Clip for Women, Multi-Shape Sweet Hair Clips, Fashion Hair Accessories",115,1K+,SparkleTots,10%,₱11.50,https://shopee.ph/product/1586690838/41618666346,https://s.shopee.ph/1Lbn3pREgN
26662801338,Folding  Dual-purpose Reading Glasses Portable Progressive Biofocal Eyewear Mens Parent Anti-Blue Ray Presbyopic Eyeglasses with Leather Case,99,10K+,leminmin.ph,10%,₱9.90,https://shopee.ph/product/1365611091/26662801338,https://s.shopee.ph/2VnkRyMnJc
8895943056,New Women Sun Hat Handmade Straw Visor Caps Parent-Child Summer Hat Empty Top Beach Hats,139,7K+,Neighbor Market,12%,₱16.68,https://shopee.ph/product/510270305/8895943056,https://s.shopee.ph/2LUKFfNQeb
21559639081,[AC] 3 in 1- Free Engraved Name Wedding Rings with Free Engagement Ring Set - Kenji ✨,999,2K+,Aaron Charles ✨,17%,₱169.83,https://shopee.ph/product/482349329/21559639081,https://s.shopee.ph/2BAu3MO3za
43762797538,(24-hour Local Delivery)Elegant Ladies Hollow Knitted Shawl Beach Tassel Breathable Comfortable Air Conditioning Cardigan,142,966,Banjour.ph,7%,₱9.94,https://shopee.ph/product/1408815570/43762797538,https://s.shopee.ph/20rTr3OhKZ
23739050035,Hip-Hop Small Cat Eye Sunglasses Women Eyeglasses Eyewear with Retro Style Sunglasses,42,4K+,Dessbiss01,10%,₱4.20,https://shopee.ph/product/843709859/23739050035,https://s.shopee.ph/W2g4IUPNI
3452233315,Los Angeles Dodgers MLB Fashion brand High Quality  Close Cap Baseball Cap,225,10K+,ojbk online shop,10%,₱22.50,https://shopee.ph/product/27937937/3452233315,https://s.shopee.ph/LjFrzV2iH
15185967316,RM 3-IN-1 FREE ENGRAVED NAME WEDDING RING SET AND ENGAGEMENT RING FREE VELVET BOX 5mmx1mm,950,380,RM wedding Ring,16%,₱152.00,https://shopee.ph/product/312068081/15185967316,https://s.shopee.ph/BPpfgVg3G
